order_date,order_count,line_count,total_sales,total_profit,total_qty,avg_discount
2015-01-03,1,1,16.448,5.5512,2,0.2
2015-01-04,1,3,288.06,-65.9901,8,0.4000000000000001
2015-01-05,1,1,19.536,4.884,3,0.2
2015-01-06,3,9,4407.1,1358.0524,30,0.0
2015-01-07,1,2,87.15799999999999,-71.9621,10,0.7
2015-01-09,1,2,40.544,10.918,5,0.2
2015-01-10,1,2,54.83,22.6537,2,0.0
2015-01-11,1,1,9.94,3.0814,2,0.0
2015-01-13,4,11,3553.795,673.6386,48,0.09545454545454544
2015-01-14,1,1,61.96,-53.2856,4,0.5
2015-01-15,1,1,149.95,65.978,5,0.0
2015-01-16,1,4,299.964,-5.933499999999999,14,0.375
2015-01-18,1,1,64.864,6.4864,4,0.2
2015-01-19,1,4,378.594,-287.9976,24,0.44999999999999996
2015-01-20,4,17,2673.87,584.3695,58,0.047058823529411764
2015-01-21,1,1,25.248,4.1028,3,0.2
2015-01-23,2,2,46.019999999999996,19.2384,9,0.0
2015-01-26,2,9,1097.25,150.327,38,0.0
2015-01-27,1,3,426.67,9.6827,8,0.06666666666666667
2015-01-28,1,1,3.928,1.3257,1,0.2
2015-01-30,1,2,240.5,11.6502,4,0.0
2015-01-31,1,1,290.666,3.4196,2,0.15
2015-02-01,1,1,468.9,206.316,6,0.0
2015-02-02,2,3,211.64600000000002,7.152499999999999,12,0.3
2015-02-03,1,2,97.11200000000001,31.5614,5,0.2
2015-02-04,2,3,134.38400000000001,51.1432,9,0.13333333333333333
2015-02-06,2,4,330.512,76.4833,12,0.2
2015-02-07,2,2,180.32,59.3488,11,0.0
2015-02-08,1,1,14.56,5.5328,2,0.0
2015-02-11,2,9,2043.4,293.5285,25,0.0
2015-02-12,1,1,129.568,-24.294,2,0.2
2015-02-14,2,4,576.726,120.1764,10,0.05
2015-02-15,1,1,21.36,7.209,5,0.2
2015-02-16,1,2,9.04,-15.658,5,0.8
2015-02-17,1,1,54.208,8.8088,14,0.2
2015-02-18,2,2,37.784,-13.846799999999998,7,0.4
2015-02-20,2,3,95.59,35.5612,9,0.0
2015-02-21,1,1,8.85,-13.7175,5,0.8
2015-02-22,1,1,19.44,9.3312,3,0.0
2015-02-23,1,2,11.364,-4.522500000000001,6,0.5
2015-02-24,1,2,55.672,18.789299999999997,7,0.2
2015-02-27,1,1,19.456,3.4048,4,0.2
2015-03-01,5,10,2203.151,-208.96140000000003,40,0.25
2015-03-02,2,4,202.384,56.0112,11,0.1
2015-03-03,5,9,1345.8919999999998,-629.7988999999999,35,0.2777777777777778
2015-03-04,2,2,370.452,20.0778,8,0.1
2015-03-05,1,5,705.562,261.19010000000003,16,0.04
2015-03-07,3,8,1561.062,134.1539,27,0.1
2015-03-10,2,3,741.956,4.188600000000001,9,0.13333333333333333
2015-03-11,4,8,918.314,279.06100000000004,39,0.05
2015-03-14,5,11,2108.55,528.5024,38,0.1
2015-03-15,1,5,370.78200000000004,33.598,14,0.4
2015-03-16,1,1,471.92,29.495,2,0.2
2015-03-17,5,19,3960.358,-831.8572,82,0.10526315789473684
2015-03-18,3,11,28106.716,-954.7089000000001,48,0.21363636363636365
2015-03-19,1,7,590.762,68.6353,23,0.27142857142857146
2015-03-21,4,11,4109.816,1055.3735,39,0.10909090909090911
