Product Name,Category,total_sales,total_profit,quantity
Canon imageCLASS 2200 Advanced Copier,Technology,61599.824,25199.928,20
Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,Office Supplies,27453.384000000002,7753.039,31
Cisco TelePresence System EX90 Videoconferencing Unit,Technology,22638.48,-1811.0784,6
HON 5400 Series Task Chairs for Big and Tall,Furniture,21870.576,5.684341886080802e-14,39
GBC DocuBind TL300 Electric Binding System,Office Supplies,19823.479,2233.5051000000003,37
GBC Ibimaster 500 Manual ProClick Binding System,Office Supplies,19024.5,760.9799999999996,48
Hewlett Packard LaserJet 3310 Copier,Technology,18839.686,6983.8836,38
"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",Technology,18374.895,4094.9766,12
GBC DocuBind P400 Electric Binding System,Office Supplies,17965.068,-1878.1662000000003,27
High Speed Automatic Electric Letter Opener,Office Supplies,17030.311999999998,-262.00480000000005,11
